﻿Wskaźnik;;Jednostka;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
przyczyny niedokładnie określone;;%;6,4;6,5;7,1;7,4;7,8;8,0;8,5;8,4;7,5;7,2;6,7;6,6;6,6;6,5;6,5;6,6;6,6;6,4;6,7;6,4;6,2;6,5;6,4;5,9;6,4;7,4;6,6;7,6;9,4;10,3;11,0;10,4;7,1;
Zgony niemowląt;;tys.;10,9;10,6;9,9;9,0;8,0;7,3;5,9;5,2;4,2;3,8;3,4;3,1;2,8;2,7;2,5;2,4;2,3;2,2;2,3;2,3;2,3;2,1;1,8;1,8;1,7;1,6;1,5;1,5;1,6;1,5;1,4;1,3;1,3;1,2
Zgony niemowląt;;na 1000 urodzeń żywych;19,1;19,3;18,2;17,3;16,1;15,1;13,6;12,2;10,2;9,5;8,9;8,1;7,7;7,5;7,0;6,8;6,4;6,0;6,0;5,6;5,6;5,0;4,7;4,6;4,6;4,2;4,0;4,0;4,0;3,8;3,8;3,6;3,9;3,8
Przyrost naturalny;;tys.;181,3;157,4;142,0;120,5;102,0;94,9;47,0;42,7;32,5;20,3;0,6;10,3;5,0;-5,7;-14,1;-7,4;-3,9;4,5;10,7;35,1;32,7;34,8;12,9;1,5;-17,7;-1,3;-25,6;-5,8;-0,9;-26,0;-34,8;-122,0;-188,0;-143,3
Przyrost naturalny;;na 1000 ludności;4,8;4,1;3,7;3,2;2,7;2,5;1,2;1,1;0,9;0,5;0;0,3;0,1;-0,1;-0,4;-0,2;-0,1;0,1;0,3;0,9;0,9;0,9;0,3;0;-0,5;0;-0,7;-0,2;0;-0,7;-0,9;-3,2;-4,9;-3,8
Migracje wewnętrzne na pobyt stały;;tys.;596,5;529,9;505,4;494,1;456,8;437,9;419,7;427,3;417,0;425,8;432,4;394,1;369,3;403,6;430,5;432,6;422,8;473,5;511,3;405,5;403,8;422,6;419,9;395,3;427,3;407,6;387,5;378,2;400,4;449,8;468,3;385,0;429,7;433,6
Migracje zagraniczne na pobyt stały;;pusta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
imigracja;;tys.;2,2;2,6;5,0;6,5;5,9;6,9;8,1;8,2;8,4;8,9;7,5;7,3;6,6;6,6;7,0;9,5;9,3;10,8;15,0;15,3;17,4;15,2;15,5;14,6;12,2;12,3;.;13,5;13,3;15,5;16,9;13,3;15,4;15,6
emigracja;;tys.;26,6;18,4;21,0;18,1;21,3;25,9;26,3;21,3;20,2;22,2;21,5;27,0;23,4;24,5;20,8;18,9;22,2;46,9;35,5;30,1;18,6;17,4;19,9;21,2;32,1;28,1;.;12,0;11,9;11,8;10,7;8,8;12,0;13,6
saldo;;tys.;-24,4;-15,8;-16,0;-11,6;-15,4;-19,0;-18,2;-13,1;-11,8;-13,3;-14,0;-19,7;-16,8;-17,9;-13,8;-9,4;-12,9;-36,1;-20,5;-14,9;-1,2;-2,1;-4,3;-6,6;-19,9;-15,8;.;1,5;1,4;3,6;6,2;4,5;3,4;1,9
